Cuenta,Concepto,Saldo Inicial,Saldo Faltante,Cuota,Cuotas faltantes,Fecha de Pago,Moneda
Tarjeta credito AAA,"COMEDOR, MICROONDAS, TELEVISOR","617,753.00","283,136.90","25,739.70",11,10,COLONES
Tarjeta credito AAA,IPHONE ALINE,"438,087.98","328,566.38","18,253.60",18,10,COLONES
Tarjeta credito AAA,ANTEOJOS JOSE,"116,246.40","58,123.20","19,374.40",3,10,COLONES
Tarjeta credito AAA,TECLADO JOSE,"39,000.00","19,500.00","6,500.00",3,10,COLONES
Tarjeta credito AAA,MONITOR JOSE,"152,520.00","76,260.00","25,420.00",3,10,COLONES
Tarjeta credito AAA,MARCHAMO,"243,461.00","223,172.60","20,288.40",11,10,COLONES
Tarjeta credito BBB,VUELOS,"3,623.00","1,355.65",302,5,PREGUNTAR,PESOS
Tarjeta credito BBB,VUELOS,"2,618.00","2,180.00",219,10,PREGUNTAR,PESOS
Tarjeta credito BBB,VUELOS,"2,898.00","2,576.00",322,8,PREGUNTAR,PESOS
Tarjeta credito BBB,VUELOS,"2,623.00","1,748.00",875,2,PREGUNTAR,PESOS
